user_id,result
1,"[856942, 5577022, 934369, 9655212, 1021164]"
3,"[1092026, 921345, 1092937, 885697, 1013928]"
6,"[1119051, 1041259, 863447, 1098844, 1108094]"
7,"[1122358, 1079023, 828867, 6602729, 974156]"
8,"[969932, 1127624, 972931, 12302069, 919766]"
9,"[1135468, 948254, 862799, 1040346, 12171886]"
13,"[862070, 893802, 860975, 965772, 1029688]"
14,"[1056651, 1127758, 1013928, 910673, 6533765]"
15,"[910439, 991592, 1070820, 895268, 943320]"
16,"[13007710, 1084551, 12263788, 1035843, 6533765]"
17,"[833351, 944486, 5568072, 963971, 948670]"
18,"[1135768, 1022066, 1137688, 1081189, 1134483]"
19,"[879755, 844165, 985119, 910673, 6533765]"
20,"[1075368, 1126899, 1055425, 949836, 6533765]"
22,"[1070820, 995965, 1104349, 883003, 956599]"
23,"[1075368, 906335, 1005274, 1138858, 1034176]"
24,"[1036501, 859237, 1016800, 1007191, 970152]"
25,"[1097001, 948509, 1012284, 1118281, 906844]"
26,"[831536, 5591154, 1070015, 1021133, 904129]"
27,"[959409, 7409957, 1003600, 963686, 9655676]"
28,"[892531, 992730, 1112238, 6533368, 9859017]"
29,"[891505, 5568721, 1033615, 935284, 849202]"
30,"[910473, 957736, 969866, 1062572, 836445]"
31,"[1062128, 9526100, 1057260, 971922, 921438]"
32,"[1003649, 1002178, 972569, 8293447, 959737]"
33,"[1025611, 832678, 920844, 970792, 1038663]"
34,"[993638, 1044805, 1123792, 879755, 6533765]"
35,"[1126899, 953539, 6534030, 819978, 9521787]"
36,"[1007136, 865705, 861445, 1096317, 826666]"
37,"[844165, 1046689, 1056212, 916990, 948670]"
39,"[1127716, 1138487, 944836, 1058930, 849202]"
40,"[1055504, 927191, 895268, 1089392, 964717]"
41,"[909714, 865705, 1077430, 936594, 874972]"
42,"[839656, 1060673, 953476, 1112766, 968072]"
43,"[905235, 1042942, 874736, 821787, 6391137]"
46,"[999104, 889649, 890695, 7442008, 9655679]"
47,"[6534077, 827656, 6533681, 934948, 12262778]"
48,"[7168759, 944139, 826816, 956813, 5588365]"
